# years, casales, meansales
1970.00 128.60 121.54
1971.00 126.10 124.68
1972.00 131.40 129.32
1973.00 133.70 130.89
1974.00 138.80 133.74
1975.00 136.80 135.54
1976.00 138.00 138.75
1977.00 140.30 137.90
1978.00 141.80 137.13
1979.00 140.90 134.82
1980.00 140.70 134.88
1981.00 139.50 134.98
1982.00 137.30 133.05
1983.00 128.30 128.19
1984.00 128.20 122.25
1985.00 126.60 120.53
1986.00 126.50 117.62
1987.00 122.10 114.73
1988.00 121.10 110.52
1989.00 116.60 106.65
1990.00 114.40 102.36
1991.00 110.30 100.11
1992.00 107.60 98.94
1993.00 106.50 97.47
1994.00 112.90 96.03
1995.00 82.80 95.94
1996.00 82.90 93.92
1997.00 75.60 93.45
1998.00 73.70 92.07
1999.00 81.70 88.92
2000.00 83.70 83.80
2001.00 79.20 80.94
2002.00 78.10 79.20
2003.00 72.30 77.82
2004.00 68.50 72.76
2005.00 57.90 71.47
2006.00 56.50 69.60
2007.00 55.00 67.54
2008.00 52.40 62.99
2009.00 50.60 59.88
2010.00 48.80 54.26
2011.00 46.40 52.54
2012.00 46.70 50.82
2013.00 45.40 48.93
2014.00 44.50 46.71
2015.00 44.50 46.35
2016.00 44.90 45.12
2017.00 44.40 43.59
