# years, casales, meansales
1970.00 106.40 121.54
1971.00 108.90 124.68
1972.00 108.60 129.32
1973.00 110.40 130.89
1974.00 114.70 133.74
1975.00 116.00 135.54
1976.00 121.40 138.75
1977.00 124.20 137.90
1978.00 126.60 137.13
1979.00 126.40 134.82
1980.00 129.70 134.88
1981.00 129.00 134.98
1982.00 131.20 133.05
1983.00 126.40 128.19
1984.00 117.20 122.25
1985.00 115.90 120.53
1986.00 113.70 117.62
1987.00 105.80 114.73
1988.00 96.50 110.52
1989.00 94.50 106.65
1990.00 85.60 102.36
1991.00 79.60 100.11
1992.00 77.20 98.94
1993.00 81.30 97.47
1994.00 78.80 96.03
1995.00 75.20 95.94
1996.00 74.60 93.92
1997.00 72.60 93.45
1998.00 73.20 92.07
1999.00 67.80 88.92
2000.00 69.30 83.80
2001.00 62.10 80.94
2002.00 58.30 79.20
2003.00 58.90 77.82
2004.00 55.80 72.76
2005.00 55.40 71.47
2006.00 54.30 69.60
2007.00 49.30 67.54
2008.00 43.90 62.99
2009.00 42.30 59.88
2010.00 38.20 54.26
2011.00 38.70 52.54
2012.00 36.70 50.82
2013.00 36.20 48.93
2014.00 33.70 46.71
2015.00 33.80 46.35
2016.00 32.80 45.12
2017.00 31.90 43.59
