# years, casales, meansales
1970.00 107.30 121.54
1971.00 106.30 124.68
1972.00 109.00 129.32
1973.00 110.70 130.89
1974.00 114.20 133.74
1975.00 114.60 135.54
1976.00 118.80 138.75
1977.00 120.10 137.90
1978.00 122.30 137.13
1979.00 122.60 134.82
1980.00 124.00 134.88
1981.00 125.20 134.98
1982.00 123.30 133.05
1983.00 125.30 128.19
1984.00 115.30 122.25
1985.00 115.80 120.53
1986.00 113.90 117.62
1987.00 110.60 114.73
1988.00 107.60 110.52
1989.00 107.10 106.65
1990.00 101.30 102.36
1991.00 102.50 100.11
1992.00 96.20 98.94
1993.00 94.70 97.47
1994.00 95.40 96.03
1995.00 95.40 95.94
1996.00 93.30 93.92
1997.00 92.90 93.45
1998.00 92.10 92.07
1999.00 91.10 88.92
2000.00 87.90 83.80
2001.00 86.80 80.94
2002.00 86.90 79.20
2003.00 74.70 77.82
2004.00 68.90 72.76
2005.00 62.80 71.47
2006.00 62.40 69.60
2007.00 60.80 67.54
2008.00 61.40 62.99
2009.00 59.20 59.88
2010.00 57.00 54.26
2011.00 56.40 52.54
2012.00 55.00 50.82
2013.00 52.80 48.93
2014.00 50.80 46.71
2015.00 48.50 46.35
2016.00 48.20 45.12
2017.00 40.50 43.59
