# years, casales, meansales
1970.00 155.80 121.54
1971.00 163.50 124.68
1972.00 179.40 129.32
1973.00 201.90 130.89
1974.00 212.40 133.74
1975.00 223.00 135.54
1976.00 230.90 138.75
1977.00 229.40 137.90
1978.00 224.70 137.13
1979.00 214.90 134.82
1980.00 215.30 134.88
1981.00 209.70 134.98
1982.00 210.60 133.05
1983.00 201.10 128.19
1984.00 183.20 122.25
1985.00 182.40 120.53
1986.00 179.80 117.62
1987.00 171.20 114.73
1988.00 173.20 110.52
1989.00 171.60 106.65
1990.00 182.50 102.36
1991.00 170.80 100.11
1992.00 167.60 98.94
1993.00 167.60 97.47
1994.00 170.20 96.03
1995.00 175.30 95.94
1996.00 179.00 93.92
1997.00 186.80 93.45
1998.00 171.30 92.07
1999.00 165.30 88.92
2000.00 156.20 83.80
2001.00 152.60 80.94
2002.00 140.80 79.20
2003.00 175.80 77.82
2004.00 174.40 72.76
2005.00 181.80 71.47
2006.00 145.30 69.60
2007.00 141.90 67.54
2008.00 141.90 62.99
2009.00 126.40 59.88
2010.00 110.70 54.26
2011.00 103.70 52.54
2012.00 100.10 50.82
2013.00 93.50 48.93
2014.00 89.00 46.71
2015.00 84.50 46.35
2016.00 87.00 45.12
2017.00 85.60 43.59
