# years, casales, meansales
1970.00 100.30 121.54
1971.00 104.10 124.68
1972.00 103.90 129.32
1973.00 108.00 130.89
1974.00 109.70 133.74
1975.00 114.80 135.54
1976.00 119.10 138.75
1977.00 122.60 137.90
1978.00 127.30 137.13
1979.00 126.50 134.82
1980.00 131.80 134.88
1981.00 128.70 134.98
1982.00 127.40 133.05
1983.00 128.00 128.19
1984.00 123.10 122.25
1985.00 125.80 120.53
1986.00 126.00 117.62
1987.00 122.30 114.73
1988.00 121.50 110.52
1989.00 118.30 106.65
1990.00 113.10 102.36
1991.00 116.80 100.11
1992.00 126.00 98.94
1993.00 113.80 97.47
1994.00 108.80 96.03
1995.00 113.00 95.94
1996.00 110.70 93.92
1997.00 108.70 93.45
1998.00 109.50 92.07
1999.00 104.80 88.92
2000.00 99.40 83.80
2001.00 101.70 80.94
2002.00 87.20 79.20
2003.00 91.60 77.82
2004.00 79.80 72.76
2005.00 82.10 71.47
2006.00 81.40 69.60
2007.00 78.40 67.54
2008.00 77.00 62.99
2009.00 72.60 59.88
2010.00 63.20 54.26
2011.00 61.10 52.54
2012.00 60.50 50.82
2013.00 57.50 48.93
2014.00 54.40 46.71
2015.00 54.00 46.35
2016.00 54.20 45.12
2017.00 52.40 43.59
