# years, casales, meansales
1970.00 99.80 121.54
1971.00 106.30 124.68
1972.00 111.50 129.32
1973.00 109.70 130.89
1974.00 114.80 133.74
1975.00 117.40 135.54
1976.00 121.70 138.75
1977.00 124.60 137.90
1978.00 127.30 137.13
1979.00 127.20 134.82
1980.00 130.40 134.88
1981.00 129.10 134.98
1982.00 131.40 133.05
1983.00 129.00 128.19
1984.00 125.10 122.25
1985.00 128.70 120.53
1986.00 107.90 117.62
1987.00 130.60 114.73
1988.00 125.30 110.52
1989.00 124.70 106.65
1990.00 121.80 102.36
1991.00 120.60 100.11
1992.00 121.00 98.94
1993.00 120.80 97.47
1994.00 118.80 96.03
1995.00 125.40 95.94
1996.00 119.20 93.92
1997.00 118.90 93.45
1998.00 119.70 92.07
1999.00 115.80 88.92
2000.00 108.70 83.80
2001.00 103.50 80.94
2002.00 103.40 79.20
2003.00 93.20 77.82
2004.00 96.50 72.76
2005.00 97.00 71.47
2006.00 98.70 69.60
2007.00 107.40 67.54
2008.00 69.50 62.99
2009.00 77.00 59.88
2010.00 72.60 54.26
2011.00 71.70 52.54
2012.00 68.30 50.82
2013.00 66.20 48.93
2014.00 62.60 46.71
2015.00 62.20 46.35
2016.00 61.60 45.12
2017.00 59.20 43.59
