# years, casales, meansales
1970.00 104.30 121.54
1971.00 116.40 124.68
1972.00 96.80 129.32
1973.00 106.80 130.89
1974.00 110.60 133.74
1975.00 111.50 135.54
1976.00 116.70 138.75
1977.00 117.20 137.90
1978.00 118.90 137.13
1979.00 118.30 134.82
1980.00 117.70 134.88
1981.00 120.80 134.98
1982.00 119.40 133.05
1983.00 113.20 128.19
1984.00 110.80 122.25
1985.00 113.00 120.53
1986.00 104.80 117.62
1987.00 108.80 114.73
1988.00 94.10 110.52
1989.00 92.30 106.65
1990.00 90.70 102.36
1991.00 86.20 100.11
1992.00 83.80 98.94
1993.00 81.60 97.47
1994.00 83.40 96.03
1995.00 84.10 95.94
1996.00 81.70 93.92
1997.00 84.10 93.45
1998.00 83.20 92.07
1999.00 80.70 88.92
2000.00 76.00 83.80
2001.00 74.20 80.94
2002.00 71.00 79.20
2003.00 71.70 77.82
2004.00 73.00 72.76
2005.00 65.70 71.47
2006.00 55.60 69.60
2007.00 53.00 67.54
2008.00 50.90 62.99
2009.00 48.70 59.88
2010.00 46.50 54.26
2011.00 51.50 52.54
2012.00 37.90 50.82
2013.00 43.10 48.93
2014.00 31.40 46.71
2015.00 30.20 46.35
2016.00 29.80 45.12
2017.00 28.30 43.59
