# years, casales, meansales
1970.00 108.40 121.54
1971.00 115.40 124.68
1972.00 121.70 129.32
1973.00 124.10 130.89
1974.00 130.50 133.74
1975.00 132.90 135.54
1976.00 138.60 138.75
1977.00 140.40 137.90
1978.00 143.60 137.13
1979.00 141.60 134.82
1980.00 141.60 134.88
1981.00 143.70 134.98
1982.00 147.00 133.05
1983.00 140.00 128.19
1984.00 128.10 122.25
1985.00 124.20 120.53
1986.00 119.90 117.62
1987.00 113.10 114.73
1988.00 103.60 110.52
1989.00 97.50 106.65
1990.00 88.40 102.36
1991.00 87.80 100.11
1992.00 86.30 98.94
1993.00 86.20 97.47
1994.00 104.80 96.03
1995.00 109.50 95.94
1996.00 110.80 93.92
1997.00 111.80 93.45
1998.00 112.20 92.07
1999.00 111.40 88.92
2000.00 108.90 83.80
2001.00 108.10 80.94
2002.00 102.00 79.20
2003.00 103.00 77.82
2004.00 101.60 72.76
2005.00 98.20 71.47
2006.00 87.20 69.60
2007.00 85.80 67.54
2008.00 86.70 62.99
2009.00 79.00 59.88
2010.00 71.20 54.26
2011.00 71.00 52.54
2012.00 71.30 50.82
2013.00 67.20 48.93
2014.00 64.30 46.71
2015.00 62.60 46.35
2016.00 61.20 45.12
2017.00 60.50 43.59
