# years, casales, meansales
1970.00 93.40 121.54
1971.00 105.40 124.68
1972.00 112.10 129.32
1973.00 115.00 130.89
1974.00 117.10 133.74
1975.00 116.80 135.54
1976.00 120.90 138.75
1977.00 122.10 137.90
1978.00 124.90 137.13
1979.00 123.90 134.82
1980.00 127.00 134.88
1981.00 125.30 134.98
1982.00 125.80 133.05
1983.00 122.30 128.19
1984.00 116.40 122.25
1985.00 115.30 120.53
1986.00 113.20 117.62
1987.00 110.00 114.73
1988.00 109.00 110.52
1989.00 108.30 106.65
1990.00 101.80 102.36
1991.00 105.60 100.11
1992.00 103.90 98.94
1993.00 105.40 97.47
1994.00 106.00 96.03
1995.00 107.50 95.94
1996.00 106.90 93.92
1997.00 106.30 93.45
1998.00 107.00 92.07
1999.00 103.90 88.92
2000.00 97.20 83.80
2001.00 93.90 80.94
2002.00 91.50 79.20
2003.00 91.20 77.82
2004.00 88.40 72.76
2005.00 88.80 71.47
2006.00 92.20 69.60
2007.00 88.80 67.54
2008.00 93.60 62.99
2009.00 89.50 59.88
2010.00 70.30 54.26
2011.00 67.90 52.54
2012.00 66.50 50.82
2013.00 63.90 48.93
2014.00 61.20 46.71
2015.00 62.60 46.35
2016.00 59.20 45.12
2017.00 59.40 43.59
