# years, casales, meansales
1970.00 124.30 121.54
1971.00 121.40 124.68
1972.00 117.90 129.32
1973.00 121.20 130.89
1974.00 124.30 133.74
1975.00 126.10 135.54
1976.00 116.90 138.75
1977.00 118.90 137.90
1978.00 120.50 137.13
1979.00 118.20 134.82
1980.00 120.50 134.88
1981.00 123.20 134.98
1982.00 122.30 133.05
1983.00 119.80 128.19
1984.00 116.00 122.25
1985.00 117.20 120.53
1986.00 115.80 117.62
1987.00 113.80 114.73
1988.00 111.70 110.52
1989.00 104.40 106.65
1990.00 99.40 102.36
1991.00 93.50 100.11
1992.00 90.50 98.94
1993.00 84.10 97.47
1994.00 77.00 96.03
1995.00 76.90 95.94
1996.00 74.60 93.92
1997.00 66.70 93.45
1998.00 63.60 92.07
1999.00 60.40 88.92
2000.00 58.30 83.80
2001.00 54.80 80.94
2002.00 55.50 79.20
2003.00 47.50 77.82
2004.00 43.60 72.76
2005.00 42.70 71.47
2006.00 44.10 69.60
2007.00 43.00 67.54
2008.00 43.10 62.99
2009.00 34.60 59.88
2010.00 33.70 54.26
2011.00 34.20 52.54
2012.00 33.50 50.82
2013.00 32.20 48.93
2014.00 27.10 46.71
2015.00 25.90 46.35
2016.00 25.60 45.12
2017.00 24.30 43.59
