# years, casales, meansales
1970.00 92.70 121.54
1971.00 96.70 124.68
1972.00 103.00 129.32
1973.00 103.50 130.89
1974.00 108.40 133.74
1975.00 113.50 135.54
1976.00 116.70 138.75
1977.00 115.60 137.90
1978.00 116.90 137.13
1979.00 117.40 134.82
1980.00 114.70 134.88
1981.00 115.70 134.98
1982.00 113.00 133.05
1983.00 109.80 128.19
1984.00 105.70 122.25
1985.00 104.40 120.53
1986.00 97.00 117.62
1987.00 95.80 114.73
1988.00 91.90 110.52
1989.00 87.40 106.65
1990.00 88.30 102.36
1991.00 91.80 100.11
1992.00 93.00 98.94
1993.00 91.60 97.47
1994.00 94.80 96.03
1995.00 98.60 95.94
1996.00 92.30 93.92
1997.00 88.80 93.45
1998.00 88.30 92.07
1999.00 83.50 88.92
2000.00 75.10 83.80
2001.00 78.10 80.94
2002.00 75.40 79.20
2003.00 73.20 77.82
2004.00 69.30 72.76
2005.00 68.70 71.47
2006.00 69.20 69.60
2007.00 58.50 67.54
2008.00 49.50 62.99
2009.00 49.70 59.88
2010.00 48.60 54.26
2011.00 43.80 52.54
2012.00 42.80 50.82
2013.00 42.70 48.93
2014.00 42.30 46.71
2015.00 40.70 46.35
2016.00 44.60 45.12
2017.00 41.60 43.59
