# years, casales, meansales
1970.00 103.60 121.54
1971.00 115.00 124.68
1972.00 118.70 129.32
1973.00 125.50 130.89
1974.00 129.70 133.74
1975.00 130.50 135.54
1976.00 136.80 138.75
1977.00 137.20 137.90
1978.00 140.40 137.13
1979.00 135.70 134.82
1980.00 138.30 134.88
1981.00 136.10 134.98
1982.00 136.00 133.05
1983.00 131.10 128.19
1984.00 127.00 122.25
1985.00 125.40 120.53
1986.00 126.60 117.62
1987.00 126.60 114.73
1988.00 124.40 110.52
1989.00 122.40 106.65
1990.00 118.60 102.36
1991.00 121.50 100.11
1992.00 112.90 98.94
1993.00 115.20 97.47
1994.00 112.20 96.03
1995.00 109.20 95.94
1996.00 102.90 93.92
1997.00 124.50 93.45
1998.00 126.90 92.07
1999.00 109.40 88.92
2000.00 103.90 83.80
2001.00 96.60 80.94
2002.00 97.50 79.20
2003.00 95.70 77.82
2004.00 92.20 72.76
2005.00 94.00 71.47
2006.00 96.40 69.60
2007.00 91.20 67.54
2008.00 89.10 62.99
2009.00 85.00 59.88
2010.00 84.50 54.26
2011.00 69.90 52.54
2012.00 61.90 50.82
2013.00 62.00 48.93
2014.00 58.90 46.71
2015.00 56.10 46.35
2016.00 57.30 45.12
2017.00 55.50 43.59
