# years, casales, meansales
1970.00 108.50 121.54
1971.00 108.40 124.68
1972.00 109.40 129.32
1973.00 110.60 130.89
1974.00 116.10 133.74
1975.00 120.50 135.54
1976.00 124.40 138.75
1977.00 125.50 137.90
1978.00 127.10 137.13
1979.00 124.20 134.82
1980.00 124.60 134.88
1981.00 132.90 134.98
1982.00 116.20 133.05
1983.00 115.60 128.19
1984.00 111.20 122.25
1985.00 109.40 120.53
1986.00 104.10 117.62
1987.00 101.10 114.73
1988.00 100.20 110.52
1989.00 94.40 106.65
1990.00 95.40 102.36
1991.00 97.10 100.11
1992.00 95.20 98.94
1993.00 92.50 97.47
1994.00 93.40 96.03
1995.00 93.00 95.94
1996.00 94.00 93.92
1997.00 93.90 93.45
1998.00 94.00 92.07
1999.00 91.70 88.92
2000.00 88.90 83.80
2001.00 86.50 80.94
2002.00 85.40 79.20
2003.00 85.40 77.82
2004.00 83.70 72.76
2005.00 83.90 71.47
2006.00 85.30 69.60
2007.00 76.30 67.54
2008.00 57.60 62.99
2009.00 53.80 59.88
2010.00 51.30 54.26
2011.00 49.10 52.54
2012.00 48.60 50.82
2013.00 48.50 48.93
2014.00 47.10 46.71
2015.00 46.50 46.35
2016.00 47.70 45.12
2017.00 45.00 43.59
