# years, casales, meansales
1970.00 128.50 121.54
1971.00 133.20 124.68
1972.00 136.50 129.32
1973.00 138.00 130.89
1974.00 142.10 133.74
1975.00 140.70 135.54
1976.00 144.90 138.75
1977.00 145.60 137.90
1978.00 143.90 137.13
1979.00 138.50 134.82
1980.00 141.20 134.88
1981.00 138.90 134.98
1982.00 139.50 133.05
1983.00 135.40 128.19
1984.00 135.50 122.25
1985.00 127.90 120.53
1986.00 119.00 117.62
1987.00 125.00 114.73
1988.00 125.00 110.52
1989.00 122.40 106.65
1990.00 117.50 102.36
1991.00 116.10 100.11
1992.00 114.70 98.94
1993.00 108.50 97.47
1994.00 101.60 96.03
1995.00 102.30 95.94
1996.00 100.00 93.92
1997.00 101.10 93.45
1998.00 94.50 92.07
1999.00 85.50 88.92
2000.00 82.90 83.80
2001.00 81.20 80.94
2002.00 79.60 79.20
2003.00 74.60 77.82
2004.00 72.40 72.76
2005.00 71.50 71.47
2006.00 64.80 69.60
2007.00 58.50 67.54
2008.00 55.20 62.99
2009.00 52.30 59.88
2010.00 53.00 54.26
2011.00 51.10 52.54
2012.00 48.90 50.82
2013.00 48.50 48.93
2014.00 47.40 46.71
2015.00 46.90 46.35
2016.00 48.90 45.12
2017.00 49.60 43.59
