# years, casales, meansales
1970.00 108.10 121.54
1971.00 108.60 124.68
1972.00 104.90 129.32
1973.00 106.60 130.89
1974.00 110.50 133.74
1975.00 114.10 135.54
1976.00 118.10 138.75
1977.00 117.70 137.90
1978.00 117.40 137.13
1979.00 116.10 134.82
1980.00 116.30 134.88
1981.00 117.00 134.98
1982.00 117.10 133.05
1983.00 110.80 128.19
1984.00 107.70 122.25
1985.00 105.10 120.53
1986.00 103.10 117.62
1987.00 101.30 114.73
1988.00 92.90 110.52
1989.00 93.80 106.65
1990.00 89.90 102.36
1991.00 92.40 100.11
1992.00 90.60 98.94
1993.00 91.10 97.47
1994.00 85.90 96.03
1995.00 88.50 95.94
1996.00 86.20 93.92
1997.00 85.50 93.45
1998.00 79.70 92.07
1999.00 86.80 88.92
2000.00 77.60 83.80
2001.00 69.80 80.94
2002.00 77.30 79.20
2003.00 68.40 77.82
2004.00 61.80 72.76
2005.00 61.00 71.47
2006.00 59.50 69.60
2007.00 60.10 67.54
2008.00 63.20 62.99
2009.00 59.80 59.88
2010.00 55.00 54.26
2011.00 53.50 52.54
2012.00 52.50 50.82
2013.00 51.20 48.93
2014.00 47.30 46.71
2015.00 46.60 46.35
2016.00 46.30 45.12
2017.00 43.40 43.59
