# years, casales, meansales
1970.00 132.20 121.54
1971.00 131.70 124.68
1972.00 140.00 129.32
1973.00 141.20 130.89
1974.00 145.80 133.74
1975.00 160.70 135.54
1976.00 161.50 138.75
1977.00 160.40 137.90
1978.00 160.30 137.13
1979.00 168.60 134.82
1980.00 158.10 134.88
1981.00 163.10 134.98
1982.00 157.70 133.05
1983.00 141.20 128.19
1984.00 128.90 122.25
1985.00 125.70 120.53
1986.00 124.80 117.62
1987.00 110.40 114.73
1988.00 114.30 110.52
1989.00 111.40 106.65
1990.00 96.90 102.36
1991.00 109.10 100.11
1992.00 110.80 98.94
1993.00 108.40 97.47
1994.00 111.20 96.03
1995.00 115.00 95.94
1996.00 110.30 93.92
1997.00 108.80 93.45
1998.00 102.90 92.07
1999.00 104.80 88.92
2000.00 90.50 83.80
2001.00 92.90 80.94
2002.00 93.20 79.20
2003.00 115.50 77.82
2004.00 47.50 72.76
2005.00 76.40 71.47
2006.00 78.80 69.60
2007.00 83.00 67.54
2008.00 79.00 62.99
2009.00 76.70 59.88
2010.00 65.70 54.26
2011.00 70.50 52.54
2012.00 61.50 50.82
2013.00 60.80 48.93
2014.00 56.40 46.71
2015.00 58.60 46.35
2016.00 54.60 45.12
2017.00 52.40 43.59
