# years, casales, meansales
1970.00 90.00 121.54
1971.00 92.60 124.68
1972.00 99.30 129.32
1973.00 98.90 130.89
1974.00 100.30 133.74
1975.00 103.10 135.54
1976.00 102.40 138.75
1977.00 102.40 137.90
1978.00 103.10 137.13
1979.00 101.00 134.82
1980.00 102.70 134.88
1981.00 103.00 134.98
1982.00 97.50 133.05
1983.00 96.30 128.19
1984.00 88.90 122.25
1985.00 88.00 120.53
1986.00 88.20 117.62
1987.00 82.30 114.73
1988.00 77.70 110.52
1989.00 74.40 106.65
1990.00 70.80 102.36
1991.00 69.90 100.11
1992.00 71.40 98.94
1993.00 69.00 97.47
1994.00 68.20 96.03
1995.00 67.00 95.94
1996.00 65.70 93.92
1997.00 61.80 93.45
1998.00 62.60 92.07
1999.00 59.70 88.92
2000.00 53.80 83.80
2001.00 53.70 80.94
2002.00 52.20 79.20
2003.00 53.50 77.82
2004.00 35.40 72.76
2005.00 35.50 71.47
2006.00 35.40 69.60
2007.00 34.60 67.54
2008.00 34.00 62.99
2009.00 32.70 59.88
2010.00 30.30 54.26
2011.00 27.30 52.54
2012.00 26.70 50.82
2013.00 26.40 48.93
2014.00 24.60 46.71
2015.00 25.80 46.35
2016.00 24.60 45.12
2017.00 24.00 43.59
