# years, casales, meansales
1970.00 114.00 121.54
1971.00 102.80 124.68
1972.00 111.00 129.32
1973.00 115.20 130.89
1974.00 118.60 133.74
1975.00 123.40 135.54
1976.00 127.70 138.75
1977.00 127.90 137.90
1978.00 127.10 137.13
1979.00 126.40 134.82
1980.00 127.10 134.88
1981.00 132.00 134.98
1982.00 130.90 133.05
1983.00 127.60 128.19
1984.00 121.70 122.25
1985.00 115.70 120.53
1986.00 109.40 117.62
1987.00 105.20 114.73
1988.00 103.20 110.52
1989.00 96.50 106.65
1990.00 94.30 102.36
1991.00 91.80 100.11
1992.00 90.00 98.94
1993.00 89.90 97.47
1994.00 89.10 96.03
1995.00 90.10 95.94
1996.00 88.70 93.92
1997.00 89.20 93.45
1998.00 87.60 92.07
1999.00 83.30 88.92
2000.00 79.80 83.80
2001.00 78.10 80.94
2002.00 77.50 79.20
2003.00 60.70 77.82
2004.00 56.30 72.76
2005.00 54.90 71.47
2006.00 55.40 69.60
2007.00 53.10 67.54
2008.00 51.70 62.99
2009.00 49.10 59.88
2010.00 45.20 54.26
2011.00 41.20 52.54
2012.00 43.00 50.82
2013.00 41.00 48.93
2014.00 39.50 46.71
2015.00 39.30 46.35
2016.00 36.40 45.12
2017.00 34.50 43.59
