# years, casales, meansales
1970.00 89.80 121.54
1971.00 95.40 124.68
1972.00 101.10 129.32
1973.00 102.90 130.89
1974.00 108.20 133.74
1975.00 111.70 135.54
1976.00 116.20 138.75
1977.00 117.10 137.90
1978.00 123.00 137.13
1979.00 121.40 134.82
1980.00 123.20 134.88
1981.00 119.60 134.98
1982.00 119.10 133.05
1983.00 116.30 128.19
1984.00 113.00 122.25
1985.00 114.50 120.53
1986.00 116.30 117.62
1987.00 114.00 114.73
1988.00 112.10 110.52
1989.00 105.60 106.65
1990.00 108.60 102.36
1991.00 107.90 100.11
1992.00 109.10 98.94
1993.00 108.50 97.47
1994.00 107.10 96.03
1995.00 102.60 95.94
1996.00 101.40 93.92
1997.00 104.90 93.45
1998.00 106.20 92.07
1999.00 100.70 88.92
2000.00 96.20 83.80
2001.00 90.50 80.94
2002.00 84.80 79.20
2003.00 82.20 77.82
2004.00 87.90 72.76
2005.00 82.40 71.47
2006.00 83.30 69.60
2007.00 80.20 67.54
2008.00 78.00 62.99
2009.00 75.60 59.88
2010.00 71.50 54.26
2011.00 68.40 52.54
2012.00 67.20 50.82
2013.00 64.60 48.93
2014.00 61.70 46.71
2015.00 60.70 46.35
2016.00 60.10 45.12
2017.00 58.10 43.59
