# years, casales, meansales
1970.00 82.10 121.54
1971.00 85.00 124.68
1972.00 81.60 129.32
1973.00 79.20 130.89
1974.00 89.30 133.74
1975.00 92.40 135.54
1976.00 99.40 138.75
1977.00 95.10 137.90
1978.00 93.20 137.13
1979.00 88.80 134.82
1980.00 89.40 134.88
1981.00 85.60 134.98
1982.00 77.70 133.05
1983.00 80.00 128.19
1984.00 75.70 122.25
1985.00 69.80 120.53
1986.00 61.20 117.62
1987.00 54.70 114.73
1988.00 55.60 110.52
1989.00 57.40 106.65
1990.00 48.90 102.36
1991.00 54.70 100.11
1992.00 51.30 98.94
1993.00 52.40 97.47
1994.00 44.20 96.03
1995.00 45.70 95.94
1996.00 51.60 93.92
1997.00 49.10 93.45
1998.00 35.50 92.07
1999.00 32.50 88.92
2000.00 31.90 83.80
2001.00 42.80 80.94
2002.00 51.10 79.20
2003.00 51.20 77.82
2004.00 47.40 72.76
2005.00 47.00 71.47
2006.00 48.00 69.60
2007.00 43.70 67.54
2008.00 44.00 62.99
2009.00 41.10 59.88
2010.00 36.20 54.26
2011.00 32.90 52.54
2012.00 29.80 50.82
2013.00 27.00 48.93
2014.00 25.40 46.71
2015.00 26.80 46.35
2016.00 25.40 45.12
2017.00 25.10 43.59
